parcel_id,quality_tier,anomaly_flags,anomaly_count
10026012,clean,,0
10026013,clean,,0
10026009,clean,,0
10026014,clean,,0
10026008,clean,,0
10026007,clean,,0
10026006,clean,,0
10026011,clean,,0
10026010,clean,,0
10026015,clean,,0
10026016,clean,,0
10027005,clean,,0
10027004,clean,,0
10027015,clean,,0
10027014,clean,,0
09037018,clean,,0
09037020,clean,,0
09037017,clean,,0
09037016,clean,,0
09037019,clean,,0
09037021,clean,,0
10026005,clean,,0
09037014,clean,,0
10026018,clean,,0
10026004,clean,,0
10027007,auto-exclude,nonresidential_property_type:200-GenCom VacLand-no siteplan,1
10026003,clean,,0
10026020,clean,,0
10026002,clean,,0
09037043,clean,,0
09037010,clean,,0
09037009,clean,,0
09037008,clean,,0
09037007,clean,,0
09037006,clean,,0
09037047,clean,,0
09037005,clean,,0
09037048,clean,,0
09037004,clean,,0
09037049,clean,,0
09037003,clean,,0
10037082,clean,,0
10037053,clean,,0
09037050,clean,,0
09037002,clean,,0
10037086,clean,,0
09037051,clean,,0
10037087,clean,,0
10037088,clean,,0
10037050,clean,,0
10037091,clean,,0
10037049,clean,,0
10037092,clean,,0
10037038,clean,,0
09039004,clean,,0
09039005,clean,,0
10037037,clean,,0
10026017,clean,,0
10026027,clean,,0
09037012,clean,,0
09037011,clean,,0
10037083,clean,,0
10037052,clean,,0
09037001,clean,,0
10037051,clean,,0
09037052,clean,,0
10037047,clean,,0
09039003,clean,,0
10037046,clean,,0
10037036,clean,,0
10037045,clean,,0
10037035,clean,,0
09037013,clean,,0
09039002,clean,,0
10027006,clean,,0
09037015,clean,,0
09037023,clean,,0
09037038,clean,,0
09037039,clean,,0
09037024,clean,,0
09037042,clean,,0
09037025,clean,,0
09037036,clean,,0
09037026,clean,,0
09037035,clean,,0
09037044,flag-for-review,statistical_outlier:est_value_high_z=-3.0_low_value=87661,1
09037034,clean,,0
09038008,clean,,0
09037027,clean,,0
09038005,clean,,0
09037045,clean,,0
09037033,clean,,0
09038009,clean,,0
09037028,clean,,0
09037046,clean,,0
09037032,clean,,0
09038004,clean,,0
09038010,clean,,0
09037031,clean,,0
09038011,clean,,0
09038003,clean,,0
09038002,flag-for-review,statistical_outlier:est_value_high_z=-2.9_low_value=103333,1
09038013,clean,,0
09038014,clean,,0
09038015,clean,,0
09040003,clean,,0
09038016,flag-for-review,statistical_outlier:est_value_high_z=-3.6_low_value=21317,1
